index,id,terrestrial_date,sol,ls,season,min_temp,max_temp,pressure
0,3476,25-11-2022,3663,344,12,-72,-44,817
1,3474,24-11-2022,3662,343,12,-72,-9,800
2,3478,23-11-2022,3661,342,12,-73,-8,797
3,3477,22-11-2022,3660,342,12,-72,-10,798
4,3479,21-11-2022,3659,341,12,-72,-12,798
5,3475,20-11-2022,3658,341,12,-71,-16,798
6,3472,19-11-2022,3657,340,12,-71,-6,797
7,3471,18-11-2022,3656,340,12,-70,-8,800
8,3473,17-11-2022,3655,339,12,-70,-7,797
9,3470,16-11-2022,3654,339,12,-70,-8,796
10,3465,15-11-2022,3653,338,12,-70,-7,797
11,3468,14-11-2022,3652,338,12,-70,-10,794
12,3466,13-11-2022,3651,337,12,-70,-8,797
13,3464,12-11-2022,3650,336,12,-70,-15,795
14,3469,11-11-2022,3649,336,12,-69,-14,798
15,3467,10-11-2022,3648,335,12,-72,-7,796
16,3463,09-11-2022,3647,335,12,-72,-8,796
17,3462,08-11-2022,3646,334,12,-70,-11,798
18,3460,07-11-2022,3645,334,12,-72,-9,797
19,3459,06-11-2022,3644,333,12,-70,-12,797
20,3461,04-11-2022,3642,332,12,-69,-17,796
21,3458,03-11-2022,3641,331,12,-68,-18,798
22,3457,02-11-2022,3640,331,12,-70,-17,798
23,3456,01-11-2022,3639,330,12,-70,-14,798
24,3451,31-10-2022,3638,330,12,-69,-9,799
25,3453,30-10-2022,3637,329,11,-69,-7,799
26,3454,29-10-2022,3636,329,11,-68,-7,799
27,3452,28-10-2022,3635,328,11,-68,-11,799
28,3455,26-10-2022,3634,327,11,-69,-8,800
29,3450,25-10-2022,3633,327,11,-69,-12,800
30,3446,24-10-2022,3632,326,11,-67,-10,803
31,3449,23-10-2022,3631,326,11,-69,-8,803
32,3445,22-10-2022,3630,325,11,-69,-5,803
33,3447,21-10-2022,3629,325,11,-68,-6,804
34,3448,20-10-2022,3628,324,11,-70,-12,802
35,3444,19-10-2022,3627,323,11,-67,-9,803
36,3443,18-10-2022,3626,323,11,-67,-12,804
37,3441,17-10-2022,3625,322,11,-67,-11,804
38,3442,16-10-2022,3624,322,11,-67,-12,806
39,3439,15-10-2022,3623,321,11,-67,-12,808
40,3438,14-10-2022,3622,321,11,-66,-12,809
41,3440,13-10-2022,3621,320,11,-68,-10,808
42,3434,12-10-2022,3620,319,11,-65,-12,806
43,3437,11-10-2022,3619,319,11,-66,-9,806
44,3435,10-10-2022,3618,318,11,-66,-10,807
45,3436,09-10-2022,3617,318,11,-70,-10,809
46,3431,08-10-2022,3616,317,11,-67,-10,809
47,3433,07-10-2022,3615,316,11,-69,-12,810
48,3432,06-10-2022,3614,316,11,-67,-14,811
49,3430,05-10-2022,3613,315,11,-66,-9,812
50,3429,04-10-2022,3612,315,11,-69,-11,816
51,3425,03-10-2022,3611,314,11,-69,-15,817
52,3427,02-10-2022,3610,314,11,-66,-14,817
53,3426,01-10-2022,3609,313,11,-67,-9,812
54,3428,30-09-2022,3608,312,11,-67,-11,811
55,3424,29-09-2022,3607,312,11,-68,-7,813
56,3423,28-09-2022,3606,311,11,-68,-7,815
57,3417,27-09-2022,3605,311,11,-69,-6,816
58,3421,26-09-2022,3604,310,11,-69,-3,817
59,3420,25-09-2022,3603,309,11,-70,-7,820
60,3422,24-09-2022,3602,309,11,-71,-6,818
61,3419,23-09-2022,3601,308,11,-70,-5,823
62,3418,22-09-2022,3600,308,11,-70,-4,822
63,3415,21-09-2022,3599,307,11,-69,-8,827
64,3416,20-09-2022,3598,306,11,-68,-4,824
65,3411,18-09-2022,3597,306,11,-70,-6,820
66,3412,17-09-2022,3596,305,11,-69,-3,824
67,3414,16-09-2022,3595,305,11,-69,-1,821
68,3413,15-09-2022,3594,304,11,-71,0,826
69,3410,14-09-2022,3593,303,11,-69,-5,828
70,3409,13-09-2022,3592,303,11,-69,-6,829
71,3405,12-09-2022,3591,302,11,-69,-7,826
72,3406,11-09-2022,3590,301,11,-69,-8,826
73,3408,10-09-2022,3589,301,11,-57,-6,809
74,3407,04-09-2022,3583,297,10,-70,-7,831
75,3404,03-09-2022,3582,297,10,-69,-9,833
76,3403,02-09-2022,3581,296,10,-73,-7,833
77,3402,01-09-2022,3580,295,10,-69,-10,838
78,3401,31-08-2022,3579,295,10,-71,-2,836
79,3400,30-08-2022,3578,294,10,-69,0,836
80,3399,29-08-2022,3577,293,10,-69,2,836
81,3398,26-08-2022,3574,292,10,-69,0,838
82,3396,25-08-2022,3573,291,10,-68,-4,839
83,3397,24-08-2022,3572,290,10,-69,-3,840
84,3395,23-08-2022,3571,290,10,-70,2,843
85,3392,22-08-2022,3570,289,10,-69,-1,841
86,3391,21-08-2022,3569,288,10,-68,1,842
87,3393,20-08-2022,3568,288,10,-71,-4,843
88,3394,19-08-2022,3567,287,10,-68,-2,843
89,3390,18-08-2022,3566,287,10,-69,-15,864
90,3389,17-08-2022,3565,286,10,-69,2,847
91,3388,16-08-2022,3564,285,10,-70,-7,851
92,3384,15-08-2022,3563,285,10,-69,-6,851
93,3387,14-08-2022,3562,284,10,-70,-3,850
94,3386,12-08-2022,3561,283,10,-69,1,850
95,3385,11-08-2022,3560,283,10,-67,-3,850
96,3382,10-08-2022,3559,282,10,-70,0,853
97,3383,09-08-2022,3558,281,10,-68,-2,853
98,3378,08-08-2022,3557,281,10,-72,-7,857
99,3377,07-08-2022,3556,280,10,-68,-7,857
100,3381,06-08-2022,3555,280,10,-68,-3,855
101,3380,05-08-2022,3554,279,10,-67,0,856
102,3379,04-08-2022,3553,278,10,-69,-4,855
103,3375,03-08-2022,3552,278,10,-69,-2,861
104,3376,02-08-2022,3551,277,10,-68,-2,862
105,3371,01-08-2022,3550,276,10,-67,-2,863
106,3373,31-07-2022,3549,276,10,-68,1,862
107,3374,30-07-2022,3548,275,10,-68,-2,860
108,3370,29-07-2022,3547,274,10,-69,1,862
109,3372,28-07-2022,3546,274,10,-70,-1,862
110,3369,27-07-2022,3545,273,10,-69,-1,864
111,3368,26-07-2022,3544,272,10,-69,-4,867
112,3364,25-07-2022,3543,272,10,-69,0,866
113,3366,24-07-2022,3542,271,10,-68,1,863
114,3365,23-07-2022,3541,271,10,-69,-2,865
115,3367,22-07-2022,3540,270,10,-69,-2,865
116,3363,21-07-2022,3539,269,9,-68,-1,858
117,3362,20-07-2022,3538,269,9,-69,-3,865
118,3361,19-07-2022,3537,268,9,-68,-1,867
119,3356,18-07-2022,3536,267,9,-68,-4,868
120,3360,17-07-2022,3535,267,9,-68,0,867
121,3359,16-07-2022,3534,266,9,-68,1,868
122,3358,15-07-2022,3533,265,9,-68,-3,870
123,3357,14-07-2022,3532,265,9,-68,-1,868
124,3355,13-07-2022,3531,264,9,-67,0,871
125,3351,12-07-2022,3530,263,9,-68,-2,871
126,3353,11-07-2022,3529,263,9,-69,-9,871
127,3349,10-07-2022,3528,262,9,-68,-11,874
128,3352,09-07-2022,3527,261,9,-70,-9,875
129,3350,08-07-2022,3526,261,9,-68,-14,876
130,3354,06-07-2022,3525,260,9,-70,-10,873
131,3348,05-07-2022,3524,260,9,-68,-9,875
132,3347,04-07-2022,3523,259,9,-67,-10,874
133,3345,03-07-2022,3522,258,9,-67,-10,870
134,3344,02-07-2022,3521,258,9,-69,-14,882
135,3341,01-07-2022,3520,257,9,-72,-11,875
136,3346,30-06-2022,3519,256,9,-68,-15,876
137,3342,29-06-2022,3518,256,9,-67,-12,872
138,3343,28-06-2022,3517,255,9,-70,-12,875
139,3338,27-06-2022,3516,254,9,-66,-8,875
140,3336,26-06-2022,3515,254,9,-66,-10,874
141,3339,25-06-2022,3514,253,9,-66,-10,874
142,3340,24-06-2022,3513,252,9,-68,-10,872
143,3337,23-06-2022,3512,252,9,-67,-7,874
144,3335,22-06-2022,3511,251,9,-65,-6,873
145,3334,21-06-2022,3510,250,9,-67,-12,877
146,3333,20-06-2022,3509,250,9,-67,-12,879
147,3329,19-06-2022,3508,249,9,-67,-2,878
148,3331,18-06-2022,3507,248,9,-66,-2,878
149,3330,17-06-2022,3506,248,9,-68,0,875
150,3332,16-06-2022,3505,247,9,-66,-2,876
151,3327,15-06-2022,3504,246,9,-74,1,874
152,3328,14-06-2022,3503,246,9,-57,-3,857
153,3325,07-06-2022,3496,241,9,-60,-52,887
154,3326,06-06-2022,3495,241,9,-65,4,866
155,3322,05-06-2022,3494,240,9,-66,-4,866
156,3321,04-06-2022,3493,239,8,-66,-4,865
157,3324,03-06-2022,3492,239,8,-69,0,866
158,3323,02-06-2022,3491,238,8,-67,-7,865
159,3319,01-06-2022,3490,237,8,-69,-2,863
160,3320,31-05-2022,3489,237,8,-65,0,861
161,3318,29-05-2022,3488,236,8,-67,0,860
162,3316,28-05-2022,3487,235,8,-63,-4,859
163,3315,27-05-2022,3486,235,8,-66,-5,857
164,3317,26-05-2022,3485,234,8,-66,-2,859
165,3314,25-05-2022,3484,233,8,-72,1,857
166,3313,24-05-2022,3483,233,8,-66,3,855
167,3312,23-05-2022,3482,232,8,-66,1,855
168,3310,22-05-2022,3481,232,8,-66,-2,853
169,3308,21-05-2022,3480,231,8,-65,1,851
170,3311,20-05-2022,3479,230,8,-66,3,851
171,3309,19-05-2022,3478,230,8,-66,-2,847
172,3306,18-05-2022,3477,229,8,-64,1,845
173,3307,17-05-2022,3476,228,8,-65,0,844
174,3301,16-05-2022,3475,228,8,-66,1,845
175,3305,15-05-2022,3474,227,8,-65,-1,843
176,3304,14-05-2022,3473,226,8,-69,2,842
177,3302,13-05-2022,3472,226,8,-65,1,841
178,3303,12-05-2022,3471,225,8,-64,6,839
179,3300,11-05-2022,3470,224,8,-67,2,839
180,3295,10-05-2022,3469,224,8,-65,1,838
181,3294,09-05-2022,3468,223,8,-71,1,834
182,3299,08-05-2022,3467,223,8,-67,4,833
183,3298,07-05-2022,3466,222,8,-67,5,829
184,3296,06-05-2022,3465,221,8,-66,7,830
185,3297,05-05-2022,3464,221,8,-70,7,826
186,3293,04-05-2022,3463,220,8,-68,4,825
187,3291,03-05-2022,3462,219,8,-69,6,822
188,3290,02-05-2022,3461,219,8,-71,6,822
189,3287,01-05-2022,3460,218,8,-68,1,822
190,3289,30-04-2022,3459,217,8,-69,4,820
191,3288,29-04-2022,3458,217,8,-68,5,826
192,3292,28-04-2022,3457,216,8,-68,1,816
193,3285,27-04-2022,3456,216,8,-67,4,814
194,3286,26-04-2022,3455,215,8,-72,6,810
195,3282,25-04-2022,3454,214,8,-68,6,807
196,3281,24-04-2022,3453,214,8,-67,7,805
197,3284,22-04-2022,3452,213,8,-67,8,805
198,3283,21-04-2022,3451,212,8,-67,7,805
199,3280,20-04-2022,3450,212,8,-67,3,803
200,3279,19-04-2022,3449,211,8,-67,-4,804
201,3278,18-04-2022,3448,211,8,-69,1,800
202,3273,17-04-2022,3447,210,8,-65,2,793
203,3277,16-04-2022,3446,209,7,-69,5,795
204,3276,15-04-2022,3445,209,7,-70,-2,795
205,3274,14-04-2022,3444,208,7,-67,1,794
206,3275,13-04-2022,3443,207,7,-68,2,792
207,3272,12-04-2022,3442,207,7,-67,2,791
208,3267,11-04-2022,3441,206,7,-67,-31,797
209,3268,10-04-2022,3440,206,7,-68,5,785
210,3271,09-04-2022,3439,205,7,-67,2,785
211,3270,08-04-2022,3438,204,7,-68,2,784
212,3269,07-04-2022,3437,204,7,-68,2,783
213,3266,06-04-2022,3436,203,7,-71,2,780
214,3265,05-04-2022,3435,202,7,-66,-1,778
215,3261,04-04-2022,3434,202,7,-67,2,776
216,3260,03-04-2022,3433,201,7,-73,1,775
217,3263,02-04-2022,3432,201,7,-67,0,773
218,3264,01-04-2022,3431,200,7,-67,-1,773
219,3262,31-03-2022,3430,199,7,-67,2,769
220,3258,30-03-2022,3429,199,7,-67,2,768
221,3259,29-03-2022,3428,198,7,-67,2,765
222,3257,28-03-2022,3427,198,7,-69,1,763
223,3254,27-03-2022,3426,197,7,-69,2,763
224,3255,26-03-2022,3425,196,7,-66,2,762
225,3256,25-03-2022,3424,196,7,-68,1,762
226,3251,24-03-2022,3423,195,7,-68,-5,760
227,3252,23-03-2022,3422,195,7,-68,1,757
228,3253,22-03-2022,3421,194,7,-68,-3,756
229,3247,21-03-2022,3420,193,7,-68,-1,756
230,3249,20-03-2022,3419,193,7,-68,1,754
231,3246,19-03-2022,3418,192,7,-69,0,753
232,3250,18-03-2022,3417,192,7,-68,1,751
233,3248,17-03-2022,3416,191,7,-67,0,749
234,3245,15-03-2022,3415,190,7,-69,-2,748
235,3241,14-03-2022,3414,190,7,-70,-6,747
236,3240,13-03-2022,3413,189,7,-66,-6,747
237,3244,12-03-2022,3412,189,7,-65,-12,745
238,3242,11-03-2022,3411,188,7,-66,-8,743
239,3243,10-03-2022,3410,187,7,-67,-11,742
240,3237,09-03-2022,3409,187,7,-64,-12,739
241,3234,08-03-2022,3408,186,7,-69,-10,740
242,3233,07-03-2022,3407,186,7,-73,-12,740
243,3238,06-03-2022,3406,185,7,-69,-12,738
244,3235,05-03-2022,3405,184,7,-69,-10,737
245,3239,04-03-2022,3404,184,7,-68,-9,735
246,3236,03-03-2022,3403,183,7,-69,-8,733
247,3231,02-03-2022,3402,183,7,-74,-12,735
248,3227,01-03-2022,3401,182,7,-71,-11,733
249,3232,28-02-2022,3400,181,7,-68,-12,732
250,3226,27-02-2022,3399,181,7,-69,-9,731
251,3229,26-02-2022,3398,180,7,-69,-7,729
252,3228,25-02-2022,3397,180,7,-69,-8,728
253,3230,24-02-2022,3396,179,6,-70,-6,729
254,3219,23-02-2022,3395,179,6,-69,-8,727
255,3223,22-02-2022,3394,178,6,-70,-4,726
256,3224,21-02-2022,3393,177,6,-69,-7,725
257,3221,20-02-2022,3392,177,6,-69,-4,723
258,3220,19-02-2022,3391,176,6,-72,-6,722
259,3222,18-02-2022,3390,176,6,-68,-5,722
260,3225,17-02-2022,3389,175,6,-69,-9,722
261,3217,16-02-2022,3388,175,6,-69,-10,721
262,3216,15-02-2022,3387,174,6,-69,-7,719
263,3213,14-02-2022,3386,173,6,-70,-8,717
264,3215,13-02-2022,3385,173,6,-69,-6,718
265,3214,12-02-2022,3384,172,6,-69,-8,718
266,3212,11-02-2022,3383,172,6,-70,-8,717
267,3218,10-02-2022,3382,171,6,-71,-11,717
268,3210,09-02-2022,3381,171,6,-72,1,715
269,3206,08-02-2022,3380,170,6,-72,1,714
270,3209,06-02-2022,3379,169,6,-71,2,714
271,3207,05-02-2022,3378,169,6,-71,-10,720
272,3211,04-02-2022,3377,168,6,-72,-1,713
273,3208,03-02-2022,3376,168,6,-72,-6,713
274,3205,02-02-2022,3375,167,6,-72,0,713
275,3204,01-02-2022,3374,167,6,-71,0,710
276,3200,31-01-2022,3373,166,6,-71,-2,710
277,3203,30-01-2022,3372,166,6,-72,-2,710
278,3202,29-01-2022,3371,165,6,-72,-8,711
279,3201,28-01-2022,3370,164,6,-71,-5,710
280,3199,27-01-2022,3369,164,6,-72,-6,710
281,3193,26-01-2022,3368,163,6,-71,-3,707
282,3192,25-01-2022,3367,163,6,-72,-3,707
283,3197,24-01-2022,3366,162,6,-70,-4,708
284,3195,23-01-2022,3365,162,6,-70,-6,707
285,3194,22-01-2022,3364,161,6,-71,-7,708
286,3196,21-01-2022,3363,161,6,-71,-8,707
287,3198,20-01-2022,3362,160,6,-72,-4,706
288,3187,19-01-2022,3361,160,6,-70,-6,705
289,3188,18-01-2022,3360,159,6,-71,-6,707
290,3185,17-01-2022,3359,158,6,-71,-9,708
291,3186,16-01-2022,3358,158,6,-71,-6,706
